,reward_0.0001,steps_0.0001,end_0.0001,reward_0.0005,steps_0.0005,end_0.0005,reward_0.001,steps_0.001,end_0.001,reward_0.005,steps_0.005,end_0.005
35,-147.0,95,2.0,5000.0,1,0.0,-182.5,166,2.0,-266.5,334,2.0
36,-116.5,34,2.0,-258.5,318,1.0,-114.5,30,1.0,-160.5,122,1.0
37,-117.0,35,1.0,-125.5,52,1.0,-143.0,87,2.0,-101.5,4,1.0
38,-106.5,14,1.0,-107.5,16,1.0,-134.5,70,2.0,-339.0,479,1.0
39,-135.0,71,1.0,-108.0,17,2.0,-194.0,189,1.0,-102.5,6,2.0
40,-110.5,22,1.0,-123.5,48,1.0,-197.5,196,2.0,-102.0,5,2.0
41,-116.5,34,1.0,-119.0,39,1.0,-124.0,49,2.0,4990.5,20,0.0
42,-119.5,40,1.0,-196.0,193,2.0,-104.0,9,1.0,-117.0,35,1.0
43,-140.5,82,1.0,-371.5,544,2.0,-175.0,151,2.0,-114.0,29,1.0
44,4996.0,9,0.0,-251.5,304,1.0,-112.0,25,1.0,-182.0,165,2.0
45,-144.0,89,1.0,-216.0,233,2.0,-431.5,664,1.0,-320.5,442,1.0
46,-121.5,44,1.0,-101.0,3,1.0,-102.5,6,1.0,-157.5,116,1.0
47,-104.0,9,2.0,-107.5,16,2.0,-149.5,100,1.0,-100.0,1,1.0
48,-175.5,152,2.0,-118.5,38,2.0,-127.5,56,2.0,-196.0,193,1.0
49,-134.0,69,1.0,-144.5,90,2.0,-102.0,5,2.0,-186.0,173,1.0
50,-100.5,2,1.0,-119.5,40,1.0,-108.0,17,1.0,-196.0,193,2.0
51,-365.5,532,1.0,4992.5,16,0.0,-106.5,14,2.0,-111.5,24,2.0
52,-114.5,30,2.0,-114.0,29,2.0,-105.5,12,2.0,-237.0,275,1.0
53,-102.0,5,2.0,-150.5,102,1.0,-168.0,137,2.0,-100.0,1,1.0
54,-235.5,272,1.0,-205.5,212,1.0,-114.0,29,1.0,-102.0,5,1.0
55,-100.0,1,1.0,4924.0,153,0.0,-103.5,8,1.0,-138.0,77,1.0
56,-103.0,7,2.0,-106.5,14,2.0,-243.0,287,1.0,-107.0,15,2.0
57,4961.0,79,0.0,-108.0,17,1.0,-135.5,72,1.0,-102.0,5,2.0
58,-134.0,69,2.0,-130.0,61,1.0,4999.0,3,0.0,-281.0,363,1.0
59,-118.0,37,2.0,-150.0,101,1.0,5000.0,1,0.0,-108.0,17,2.0
60,-129.5,60,2.0,4997.0,7,0.0,-299.0,399,2.0,-100.0,1,2.0
61,4983.0,35,0.0,-143.5,88,2.0,-113.5,28,2.0,-118.5,38,1.0
62,-288.5,378,2.0,-138.5,78,2.0,-172.5,146,1.0,-178.0,157,2.0
63,-102.0,5,2.0,-103.0,7,2.0,-160.0,121,1.0,-208.0,217,2.0
64,-262.0,325,2.0,-104.0,9,1.0,-109.5,20,2.0,-121.5,44,1.0
65,4964.0,73,0.0,-107.5,16,1.0,-104.5,10,1.0,-138.0,77,1.0
66,-102.0,5,1.0,-102.5,6,1.0,-103.5,8,2.0,-104.5,10,1.0
67,-401.5,604,1.0,4867.0,267,0.0,-141.5,84,1.0,-111.5,24,1.0
68,-399.5,600,1.0,-121.0,43,1.0,-113.5,28,2.0,-304.5,410,2.0
69,-244.5,290,2.0,-121.5,44,1.0,-148.0,97,1.0,-108.0,17,1.0
70,-131.0,63,1.0,-183.0,167,2.0,-445.0,691,2.0,-124.0,49,2.0
71,-102.5,6,1.0,-132.5,66,2.0,-291.5,384,2.0,-142.5,86,1.0
72,-109.5,20,2.0,-201.0,203,1.0,-323.5,448,2.0,-101.0,3,1.0
73,-171.5,144,2.0,4575.0,851,0.0,-135.5,72,2.0,-100.5,2,2.0
74,-117.0,35,2.0,-101.0,3,2.0,-117.5,36,2.0,-142.5,86,2.0
75,-136.0,73,2.0,-169.0,139,2.0,-149.5,100,2.0,-100.5,2,1.0
76,-172.0,145,2.0,4962.5,76,0.0,-291.0,383,2.0,-115.0,31,1.0
77,-148.0,97,2.0,-106.5,14,2.0,-185.0,171,2.0,-138.0,77,2.0
78,-151.0,103,1.0,-159.0,119,2.0,-101.5,4,2.0,-143.0,87,2.0
79,-175.0,151,1.0,-143.0,87,2.0,-100.0,1,1.0,-137.0,75,2.0
80,-105.5,12,2.0,-100.5,2,2.0,-109.0,19,1.0,-110.0,21,2.0
81,-112.0,25,1.0,-104.5,10,1.0,-100.5,2,2.0,4978.5,44,0.0
82,-164.0,129,2.0,-105.0,11,2.0,-162.0,125,2.0,-104.0,9,2.0
