,reward_0.001,steps_0.001,end_0.001,reward_0.005,steps_0.005,end_0.005,reward_0.01,steps_0.01,end_0.01,reward_0.1,steps_0.1,end_0.1
8475,-122.0,45,1.0,4995.5,10,0.0,4841.5,318,0.0,-100.0,1,2.0
8476,4994.5,12,0.0,4985.0,31,0.0,4553.0,895,0.0,-102.5,6,2.0
8477,-110.0,21,1.0,4990.5,20,0.0,4996.0,9,0.0,-106.5,14,1.0
8478,4959.0,83,0.0,-100.5,2,1.0,4972.5,56,0.0,-114.0,29,1.0
8479,-157.0,115,1.0,4976.5,48,0.0,4987.5,26,0.0,-109.0,19,1.0
8480,-206.0,213,1.0,4992.5,16,0.0,4996.0,9,0.0,-100.0,1,1.0
8481,-1000.0,2000,,4987.5,26,0.0,4986.5,28,0.0,-119.5,40,2.0
8482,4997.0,7,0.0,4990.5,20,0.0,4526.5,948,0.0,-107.5,16,2.0
8483,-104.5,10,1.0,4984.5,32,0.0,4947.5,106,0.0,-102.0,5,1.0
8484,-101.0,3,2.0,4870.5,260,0.0,4988.0,25,0.0,-455.5,712,1.0
8485,-107.0,15,1.0,4985.0,31,0.0,4988.5,24,0.0,-114.5,30,1.0
8486,4999.0,3,0.0,-109.0,19,2.0,4999.0,3,0.0,-198.0,197,1.0
8487,4993.0,15,0.0,4777.5,446,0.0,4998.0,5,0.0,4992.5,16,0.0
8488,-114.0,29,1.0,4795.0,411,0.0,4925.0,151,0.0,-103.5,8,2.0
8489,4990.5,20,0.0,4987.0,27,0.0,4979.5,42,0.0,-349.5,500,2.0
8490,4998.5,4,0.0,4992.0,17,0.0,4996.0,9,0.0,-1000.0,2000,
8491,-112.0,25,1.0,4991.0,19,0.0,4991.5,18,0.0,-201.0,203,2.0
8492,4990.0,21,0.0,4982.5,36,0.0,4987.0,27,0.0,-126.0,53,1.0
8493,4971.5,58,0.0,4999.5,2,0.0,4997.0,7,0.0,-104.5,10,2.0
8494,4979.5,42,0.0,4984.0,33,0.0,4955.0,91,0.0,-100.0,1,2.0
8495,-1000.0,2000,,4960.5,80,0.0,4999.0,3,0.0,-120.0,41,1.0
8496,4991.5,18,0.0,4439.0,1123,0.0,4988.5,24,0.0,-120.0,41,1.0
8497,4989.5,22,0.0,4993.0,15,0.0,4984.0,33,0.0,-100.0,1,2.0
8498,4959.0,83,0.0,4997.0,7,0.0,4969.0,63,0.0,-195.5,192,2.0
8499,4991.0,19,0.0,4371.0,1259,0.0,4995.5,10,0.0,-100.5,2,2.0
8500,4956.0,89,0.0,4988.0,25,0.0,4993.0,15,0.0,-102.5,6,2.0
8501,4998.0,5,0.0,4404.5,1192,0.0,4897.5,206,0.0,-101.0,3,2.0
8502,4982.0,37,0.0,4974.5,52,0.0,4994.5,12,0.0,-103.5,8,2.0
8503,-113.0,27,2.0,4873.5,254,0.0,4879.0,243,0.0,-182.0,165,2.0
8504,4991.5,18,0.0,4922.0,157,0.0,4995.0,11,0.0,-206.0,213,2.0
8505,-106.5,14,2.0,4982.0,37,0.0,4998.0,5,0.0,-108.5,18,2.0
8506,-108.0,17,1.0,4991.5,18,0.0,4999.0,3,0.0,-150.0,101,2.0
8507,-100.0,1,1.0,4991.0,19,0.0,4984.5,32,0.0,-143.0,87,2.0
8508,-180.0,161,1.0,4996.5,8,0.0,4986.5,28,0.0,-456.5,714,2.0
8509,4977.0,47,0.0,4994.0,13,0.0,4985.0,31,0.0,-389.0,579,2.0
8510,-141.5,84,2.0,4979.5,42,0.0,4987.5,26,0.0,-466.5,734,1.0
8511,4992.0,17,0.0,4913.0,175,0.0,4988.5,24,0.0,-844.0,1489,1.0
8512,4996.5,8,0.0,4995.0,11,0.0,4994.0,13,0.0,-137.0,75,1.0
8513,-1000.0,2000,,4883.5,234,0.0,4996.0,9,0.0,-120.0,41,1.0
8514,-566.5,934,1.0,4991.0,19,0.0,4993.0,15,0.0,-494.5,790,1.0
8515,4994.0,13,0.0,4981.0,39,0.0,4989.5,22,0.0,-101.5,4,2.0
8516,4999.0,3,0.0,4919.5,162,0.0,4970.5,60,0.0,-103.5,8,1.0
8517,-147.0,95,1.0,4950.5,100,0.0,4872.5,256,0.0,-159.5,120,1.0
8518,4991.0,19,0.0,4995.5,10,0.0,4990.0,21,0.0,-110.0,21,1.0
8519,-400.0,601,1.0,4989.5,22,0.0,4985.0,31,0.0,-101.5,4,1.0
8520,4989.0,23,0.0,4980.0,41,0.0,4992.0,17,0.0,-181.5,164,1.0
8521,4999.5,2,0.0,4995.0,11,0.0,4993.0,15,0.0,-122.5,46,1.0
8522,4934.5,132,0.0,4986.5,28,0.0,4995.5,10,0.0,-136.0,73,1.0
8523,4971.0,59,0.0,4738.5,524,0.0,4993.0,15,0.0,-106.5,14,1.0
8524,4997.5,6,0.0,4970.0,61,0.0,4997.5,6,0.0,-268.5,338,1.0
8525,4988.0,25,0.0,4986.5,28,0.0,4986.0,29,0.0,-138.0,77,2.0
8526,-100.5,2,1.0,4988.0,25,0.0,4995.5,10,0.0,-103.5,8,1.0
8527,-104.0,9,2.0,-122.0,45,2.0,4985.5,30,0.0,-123.5,48,2.0
8528,-107.0,15,1.0,4989.0,23,0.0,4981.5,38,0.0,-187.5,176,2.0
8529,4997.0,7,0.0,4999.0,3,0.0,4983.0,35,0.0,-454.5,710,1.0
8530,-266.5,334,1.0,4987.5,26,0.0,4974.0,53,0.0,-221.5,244,2.0
8531,4999.0,3,0.0,4951.5,98,0.0,4965.0,71,0.0,-114.0,29,2.0
8532,4993.0,15,0.0,4971.0,59,0.0,5000.0,1,0.0,-124.0,49,1.0
8533,4994.5,12,0.0,4548.0,905,0.0,4994.0,13,0.0,-100.0,1,2.0
8534,4987.5,26,0.0,4951.0,99,0.0,4986.0,29,0.0,-175.0,151,2.0
8535,-104.0,9,1.0,-1000.0,2000,,4996.0,9,0.0,-105.0,11,2.0
8536,4998.0,5,0.0,4996.0,9,0.0,4982.0,37,0.0,4582.0,837,0.0
8537,-1000.0,2000,,4997.5,6,0.0,4997.0,7,0.0,-278.5,358,1.0
8538,4992.0,17,0.0,4997.5,6,0.0,4996.5,8,0.0,-103.5,8,1.0
