,reward_0.4,steps_0.4,end_0.4,reward_0.7,steps_0.7,end_0.7,reward_0.9,steps_0.9,end_0.9,reward_0.999,steps_0.999,end_0.999
4501,-109.5,20,2.0,-117.0,35,1.0,-116.5,34,2.0,-209.5,220,2.0
4502,-106.0,13,1.0,-139.0,79,1.0,-112.5,26,2.0,-108.5,18,2.0
4503,-120.5,42,2.0,-123.0,47,2.0,-146.5,94,2.0,-188.0,177,1.0
4504,-104.5,10,1.0,-124.5,50,2.0,-104.0,9,2.0,4996.0,9,0.0
4505,-102.5,6,1.0,-162.5,126,2.0,-117.0,35,1.0,-100.0,1,2.0
4506,-106.0,13,1.0,-113.5,28,1.0,-114.0,29,1.0,4992.5,16,0.0
4507,-108.5,18,1.0,-118.0,37,2.0,-103.5,8,2.0,-113.0,27,1.0
4508,4982.0,37,0.0,-116.5,34,1.0,-102.0,5,2.0,-125.5,52,2.0
4509,4904.0,193,0.0,-105.5,12,2.0,-102.5,6,2.0,-149.5,100,1.0
4510,-120.5,42,2.0,-115.0,31,2.0,-148.5,98,1.0,-132.5,66,2.0
4511,-160.0,121,2.0,-159.0,119,2.0,-108.5,18,1.0,-110.5,22,2.0
4512,-146.0,93,1.0,-123.0,47,1.0,4993.0,15,0.0,-101.0,3,2.0
4513,-114.0,29,2.0,4974.0,53,0.0,-109.5,20,1.0,-155.0,111,2.0
4514,4999.5,2,0.0,-126.0,53,1.0,-117.0,35,1.0,-100.0,1,2.0
4515,-146.5,94,2.0,-133.0,67,2.0,-108.5,18,2.0,4945.0,111,0.0
4516,-100.0,1,1.0,-134.0,69,2.0,-124.0,49,2.0,-107.0,15,2.0
4517,-157.0,115,2.0,-102.0,5,2.0,4998.5,4,0.0,-185.5,172,1.0
4518,-103.5,8,1.0,-102.0,5,2.0,-103.5,8,1.0,-117.5,36,1.0
4519,-110.5,22,1.0,-105.0,11,2.0,-101.0,3,1.0,-120.5,42,2.0
4520,-126.0,53,2.0,-100.5,2,1.0,-158.5,118,2.0,-108.5,18,2.0
4521,-103.5,8,1.0,-102.0,5,2.0,-114.5,30,2.0,-100.5,2,1.0
4522,-105.0,11,2.0,4985.5,30,0.0,-109.0,19,2.0,-112.0,25,1.0
4523,-131.5,64,2.0,-168.0,137,2.0,-117.0,35,1.0,-352.5,506,2.0
4524,-249.0,299,2.0,-112.0,25,1.0,-102.0,5,1.0,4998.0,5,0.0
4525,4956.5,88,0.0,-129.5,60,2.0,-137.5,76,1.0,-212.5,226,2.0
4526,-348.0,497,2.0,4995.5,10,0.0,-123.5,48,1.0,-112.0,25,2.0
4527,-208.5,218,2.0,-107.0,15,2.0,4919.0,163,0.0,-235.5,272,2.0
4528,-146.0,93,2.0,-100.5,2,1.0,-107.0,15,2.0,-132.0,65,1.0
4529,-102.5,6,1.0,-114.0,29,1.0,-253.5,308,2.0,-121.5,44,2.0
4530,-110.5,22,1.0,-110.0,21,1.0,-168.5,138,1.0,-112.5,26,1.0
4531,4949.5,102,0.0,4990.5,20,0.0,-130.0,61,2.0,-193.5,188,1.0
4532,-104.5,10,1.0,-148.5,98,2.0,-125.0,51,2.0,-117.5,36,1.0
4533,-136.0,73,2.0,-104.0,9,1.0,-144.5,90,2.0,-134.0,69,1.0
4534,-108.5,18,2.0,-387.0,575,2.0,-110.0,21,1.0,-113.5,28,1.0
4535,4998.5,4,0.0,-214.0,229,1.0,-110.0,21,2.0,-204.0,209,2.0
4536,-104.5,10,2.0,-148.0,97,1.0,-140.5,82,2.0,4987.5,26,0.0
4537,-100.5,2,2.0,-104.0,9,1.0,-151.5,104,2.0,-111.5,24,2.0
4538,-110.5,22,2.0,-110.0,21,1.0,-107.0,15,1.0,-103.0,7,1.0
4539,-131.5,64,1.0,-106.5,14,1.0,-100.5,2,1.0,-102.5,6,1.0
4540,-170.0,141,1.0,-117.5,36,1.0,-116.5,34,2.0,-101.5,4,1.0
4541,-143.0,87,2.0,4998.0,5,0.0,4972.0,57,0.0,-102.0,5,2.0
4542,4994.0,13,0.0,-116.0,33,1.0,-101.5,4,1.0,-106.5,14,2.0
4543,-104.0,9,1.0,-121.5,44,2.0,-106.0,13,2.0,-106.0,13,2.0
4544,-103.0,7,2.0,-119.0,39,1.0,-107.5,16,2.0,4914.5,172,0.0
4545,4993.0,15,0.0,-100.0,1,1.0,-109.5,20,2.0,-123.0,47,2.0
4546,-102.0,5,1.0,-110.5,22,1.0,-102.5,6,2.0,-101.5,4,2.0
4547,-102.5,6,2.0,-113.0,27,2.0,-130.0,61,2.0,-165.5,132,2.0
4548,-189.5,180,2.0,-132.0,65,1.0,-110.5,22,2.0,-103.0,7,2.0
4549,-107.5,16,1.0,-105.0,11,2.0,-105.0,11,2.0,4995.0,11,0.0
4550,-129.0,59,2.0,-108.5,18,2.0,-203.5,208,2.0,-145.5,92,2.0
4551,-108.5,18,1.0,-107.0,15,2.0,-101.0,3,1.0,-100.5,2,1.0
4552,-101.5,4,2.0,-123.0,47,2.0,-133.0,67,2.0,-166.5,134,2.0
4553,-129.5,60,2.0,4994.0,13,0.0,-109.5,20,2.0,-112.0,25,1.0
