,reward_0.2,steps_0.2,end_0.2,reward_0.4,steps_0.4,end_0.4,reward_0.6,steps_0.6,end_0.6,reward_0.8,steps_0.8,end_0.8
6445,4995.5,10,0.0,4989.5,22,0.0,4987.0,27,0.0,-104.0,9,2.0
6446,4994.5,12,0.0,4997.0,7,0.0,-297.5,396,2.0,4992.0,17,0.0
6447,4989.0,23,0.0,4982.0,37,0.0,4995.5,10,0.0,-120.0,41,1.0
6448,4992.5,16,0.0,4999.0,3,0.0,4896.0,209,0.0,4925.5,150,0.0
6449,4845.0,311,0.0,4995.0,11,0.0,4974.5,52,0.0,-100.0,1,2.0
6450,4944.5,112,0.0,4991.5,18,0.0,4993.5,14,0.0,4976.5,48,0.0
6451,4996.5,8,0.0,4999.5,2,0.0,4990.5,20,0.0,4930.0,141,0.0
6452,4990.0,21,0.0,4965.0,71,0.0,4999.5,2,0.0,-269.5,340,2.0
6453,4993.0,15,0.0,5000.0,1,0.0,4993.0,15,0.0,-122.5,46,2.0
6454,4996.5,8,0.0,4992.5,16,0.0,-101.5,4,1.0,4992.5,16,0.0
6455,4990.5,20,0.0,4853.5,294,0.0,4996.0,9,0.0,4990.5,20,0.0
6456,4817.5,366,0.0,4987.5,26,0.0,-106.0,13,2.0,4993.0,15,0.0
6457,4997.0,7,0.0,4967.0,67,0.0,4997.5,6,0.0,-129.5,60,2.0
6458,4991.5,18,0.0,4947.5,106,0.0,4979.0,43,0.0,4953.5,94,0.0
6459,4807.0,387,0.0,4999.0,3,0.0,-106.0,13,2.0,4982.0,37,0.0
6460,4985.0,31,0.0,4997.5,6,0.0,4974.5,52,0.0,4931.5,138,0.0
6461,4992.0,17,0.0,4997.5,6,0.0,4964.0,73,0.0,-221.5,244,2.0
6462,4990.5,20,0.0,4888.5,224,0.0,4937.5,126,0.0,-183.0,167,1.0
6463,4995.5,10,0.0,4995.0,11,0.0,4990.0,21,0.0,-119.0,39,2.0
6464,4974.5,52,0.0,4974.5,52,0.0,-118.0,37,2.0,4715.5,570,0.0
6465,4988.5,24,0.0,4997.0,7,0.0,4965.5,70,0.0,4999.0,3,0.0
6466,4993.0,15,0.0,4994.5,12,0.0,4990.5,20,0.0,-118.0,37,2.0
6467,4997.5,6,0.0,4988.5,24,0.0,4946.0,109,0.0,4942.5,116,0.0
6468,4998.0,5,0.0,4978.0,45,0.0,4990.0,21,0.0,4934.0,133,0.0
6469,4967.5,66,0.0,4993.5,14,0.0,-125.5,52,2.0,-107.5,16,2.0
6470,4994.5,12,0.0,4993.0,15,0.0,4993.5,14,0.0,-114.5,30,2.0
6471,4993.5,14,0.0,4919.0,163,0.0,4925.5,150,0.0,4992.0,17,0.0
6472,4992.0,17,0.0,-107.5,16,2.0,4987.5,26,0.0,-108.0,17,2.0
6473,4948.5,104,0.0,4987.0,27,0.0,4979.5,42,0.0,-118.0,37,2.0
6474,4995.0,11,0.0,4994.5,12,0.0,4922.0,157,0.0,-123.5,48,2.0
6475,4989.0,23,0.0,4977.5,46,0.0,4957.0,87,0.0,4896.5,208,0.0
6476,4994.0,13,0.0,4996.0,9,0.0,4992.0,17,0.0,4924.0,153,0.0
6477,4996.5,8,0.0,-177.0,155,1.0,4972.5,56,0.0,-105.5,12,2.0
6478,4989.0,23,0.0,4988.0,25,0.0,-102.0,5,2.0,4993.5,14,0.0
6479,4998.0,5,0.0,-631.5,1064,1.0,5000.0,1,0.0,4911.5,178,0.0
6480,4988.0,25,0.0,4999.5,2,0.0,4988.5,24,0.0,4970.0,61,0.0
6481,4997.5,6,0.0,4997.5,6,0.0,4996.0,9,0.0,-107.5,16,2.0
6482,4998.0,5,0.0,4879.5,242,0.0,4957.0,87,0.0,4998.0,5,0.0
6483,4515.5,970,0.0,4731.0,539,0.0,4982.0,37,0.0,4960.0,81,0.0
6484,4993.5,14,0.0,4962.5,76,0.0,4986.5,28,0.0,-101.5,4,2.0
6485,4990.0,21,0.0,4961.0,79,0.0,4940.0,121,0.0,4976.5,48,0.0
6486,4993.5,14,0.0,4755.0,491,0.0,4981.5,38,0.0,4980.5,40,0.0
6487,4983.0,35,0.0,-106.0,13,2.0,4991.5,18,0.0,-251.0,303,2.0
6488,4997.0,7,0.0,4996.5,8,0.0,4970.5,60,0.0,4943.5,114,0.0
6489,4992.5,16,0.0,4996.5,8,0.0,4984.5,32,0.0,4946.5,108,0.0
6490,4904.0,193,0.0,4922.5,156,0.0,4973.5,54,0.0,-103.5,8,1.0
6491,4988.5,24,0.0,-343.0,487,1.0,4993.5,14,0.0,4967.0,67,0.0
6492,-100.0,1,1.0,4999.0,3,0.0,4978.0,45,0.0,-104.0,9,1.0
6493,4998.0,5,0.0,4848.0,305,0.0,4966.0,69,0.0,4979.5,42,0.0
6494,-103.0,7,2.0,4934.0,133,0.0,-100.5,2,1.0,4996.0,9,0.0
6495,4934.0,133,0.0,4992.0,17,0.0,4992.5,16,0.0,-168.0,137,1.0
6496,4998.0,5,0.0,4996.0,9,0.0,4994.5,12,0.0,4950.0,101,0.0
6497,4992.0,17,0.0,-100.0,1,1.0,-101.0,3,2.0,4987.5,26,0.0
6498,4996.5,8,0.0,4999.5,2,0.0,4991.5,18,0.0,-110.5,22,2.0
6499,4996.5,8,0.0,4993.5,14,0.0,-124.0,49,2.0,4923.5,154,0.0
6500,4956.0,89,0.0,4996.5,8,0.0,4993.0,15,0.0,-102.5,6,2.0
6501,4995.5,10,0.0,4988.0,25,0.0,4958.0,85,0.0,4987.5,26,0.0
6502,4985.0,31,0.0,4995.5,10,0.0,4958.0,85,0.0,4996.0,9,0.0
6503,4997.5,6,0.0,4971.5,58,0.0,4975.5,50,0.0,4986.0,29,0.0
6504,4998.5,4,0.0,4994.5,12,0.0,4970.5,60,0.0,-135.5,72,2.0
6505,4993.0,15,0.0,4983.5,34,0.0,4996.0,9,0.0,4975.0,51,0.0
6506,4986.0,29,0.0,4986.0,29,0.0,4995.5,10,0.0,4999.0,3,0.0
6507,4999.0,3,0.0,4984.0,33,0.0,4996.0,9,0.0,4960.0,81,0.0
6508,4986.0,29,0.0,4997.0,7,0.0,4994.5,12,0.0,-100.5,2,2.0
6509,4936.5,128,0.0,4991.0,19,0.0,4957.0,87,0.0,4980.0,41,0.0
6510,4998.5,4,0.0,4971.0,59,0.0,4994.0,13,0.0,4969.5,62,0.0
6511,4991.5,18,0.0,4990.0,21,0.0,4971.0,59,0.0,4960.0,81,0.0
6512,4998.0,5,0.0,4978.0,45,0.0,-102.5,6,2.0,4969.5,62,0.0
6513,-100.0,1,2.0,4949.5,102,0.0,4642.0,717,0.0,-111.0,23,1.0
6514,4993.0,15,0.0,4993.0,15,0.0,-100.0,1,1.0,4950.5,100,0.0
6515,4998.5,4,0.0,4989.0,23,0.0,4985.5,30,0.0,4980.5,40,0.0
6516,4993.5,14,0.0,4905.5,190,0.0,4994.5,12,0.0,-101.5,4,2.0
6517,4982.0,37,0.0,4969.5,62,0.0,4992.0,17,0.0,4972.0,57,0.0
6518,4996.5,8,0.0,4996.0,9,0.0,4879.0,243,0.0,4949.0,103,0.0
6519,4995.5,10,0.0,4987.5,26,0.0,4994.0,13,0.0,4944.0,113,0.0
6520,4997.5,6,0.0,4994.0,13,0.0,4643.5,714,0.0,-165.5,132,2.0
6521,4993.0,15,0.0,4998.5,4,0.0,4993.0,15,0.0,-106.0,13,1.0
6522,4990.0,21,0.0,4986.5,28,0.0,4994.5,12,0.0,4895.5,210,0.0
6523,4999.0,3,0.0,4992.5,16,0.0,4993.0,15,0.0,4987.0,27,0.0
6524,4996.0,9,0.0,4992.5,16,0.0,-143.0,87,2.0,4934.5,132,0.0
6525,4988.5,24,0.0,4908.5,184,0.0,4998.0,5,0.0,4951.5,98,0.0
6526,4996.5,8,0.0,4083.0,1835,0.0,4990.5,20,0.0,-117.5,36,1.0
6527,4226.0,1549,0.0,4978.5,44,0.0,-597.5,996,2.0,-170.5,142,2.0
6528,4996.0,9,0.0,4941.0,119,0.0,4904.0,193,0.0,4993.0,15,0.0
6529,4979.0,43,0.0,4950.0,101,0.0,4996.0,9,0.0,4961.0,79,0.0
6530,4994.0,13,0.0,4999.5,2,0.0,4989.5,22,0.0,4993.5,14,0.0
